The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) CCconfig        6)  ucx/1.14.1         11) flexiblas/3.3.1
  2) gentoo/2023     7)  libfabric/1.18.0   12) blis/0.9.0
  3) gcccore/.12.3   8)  pmix/4.2.4         13) StdEnv/2023
  4) gcc/12.3        9)  ucc/1.2.0
  5) hwloc/2.9.1     10) openmpi/4.1.5
[BASELINES] Estimating empirical LMMSE covariances with num_batches=24 batch_size=48 use_training_impairments=False
[EVAL] receiver=baseline_ls_2dlmmse_lmmse Eb/N0= 0.0 dB BER=2.65201e-01 BLER=1.00000e+00 NMSE=5.02586e-01 bit_err=39209793/147849216 blk_err=24576/24576  batches= 256
[EVAL] receiver=baseline_ls_2dlmmse_lmmse Eb/N0= 1.0 dB BER=2.49039e-01 BLER=1.00000e+00 NMSE=4.85803e-01 bit_err=36820212/147849216 blk_err=24576/24576  batches= 256
[EVAL] receiver=baseline_ls_2dlmmse_lmmse Eb/N0= 2.0 dB BER=2.35442e-01 BLER=1.00000e+00 NMSE=4.75490e-01 bit_err=34809916/147849216 blk_err=24576/24576  batches= 256
[EVAL] receiver=baseline_ls_2dlmmse_lmmse Eb/N0= 3.0 dB BER=2.21019e-01 BLER=1.00000e+00 NMSE=4.60747e-01 bit_err=32677558/147849216 blk_err=24576/24576  batches= 256
[EVAL] receiver=baseline_ls_2dlmmse_lmmse Eb/N0= 4.0 dB BER=2.09799e-01 BLER=9.99593e-01 NMSE=4.52471e-01 bit_err=31018687/147849216 blk_err=24566/24576  batches= 256
[EVAL] receiver=baseline_ls_2dlmmse_lmmse Eb/N0= 5.0 dB BER=2.00324e-01 BLER=9.95605e-01 NMSE=4.44570e-01 bit_err=29617767/147849216 blk_err=24468/24576  batches= 256
[EVAL] receiver=baseline_ls_2dlmmse_lmmse Eb/N0= 6.0 dB BER=1.91057e-01 BLER=9.87467e-01 NMSE=4.34303e-01 bit_err=28247636/147849216 blk_err=24268/24576  batches= 256
[EVAL] receiver=baseline_ls_2dlmmse_lmmse Eb/N0= 7.0 dB BER=1.84953e-01 BLER=9.75138e-01 NMSE=4.29302e-01 bit_err=27345220/147849216 blk_err=23965/24576  batches= 256
[EVAL] receiver=baseline_ls_2dlmmse_lmmse Eb/N0= 8.0 dB BER=1.80443e-01 BLER=9.62809e-01 NMSE=4.24531e-01 bit_err=26678309/147849216 blk_err=23662/24576  batches= 256
[EVAL] receiver=baseline_ls_2dlmmse_lmmse Eb/N0= 9.0 dB BER=1.76682e-01 BLER=9.52433e-01 NMSE=4.19017e-01 bit_err=26122354/147849216 blk_err=23407/24576  batches= 256
[EVAL] receiver=baseline_ls_2dlmmse_lmmse Eb/N0=10.0 dB BER=1.72822e-01 BLER=9.41447e-01 NMSE=4.12590e-01 bit_err=25551614/147849216 blk_err=23137/24576  batches= 256
[EVAL] receiver=baseline_ls_2dlmmse_lmmse Eb/N0=11.0 dB BER=1.69376e-01 BLER=9.30461e-01 NMSE=4.06984e-01 bit_err=25042056/147849216 blk_err=22867/24576  batches= 256
[EVAL] receiver=baseline_ls_2dlmmse_lmmse Eb/N0=12.0 dB BER=1.66497e-01 BLER=9.21631e-01 NMSE=4.02217e-01 bit_err=24616450/147849216 blk_err=22650/24576  batches= 256
[EVAL] receiver=baseline_ls_2dlmmse_lmmse Eb/N0=13.0 dB BER=1.62820e-01 BLER=9.15812e-01 NMSE=3.95262e-01 bit_err=24072843/147849216 blk_err=22507/24576  batches= 256
